hora,demanda_inicial,pv_mw,hidro_mw,termica_mw,total_despachado_mw,demanda_residual,costo_pv,costo_hidro,costo_termica,costo_acumulado
h0,700.0,0.0,450.0,250.0,700.0,0.0,0.0,4500.0,22500.0,27000.0
h1,680.0,0.0,450.0,230.0,680.0,0.0,0.0,4500.0,20700.0,52200.0
h2,660.0,0.0,450.0,210.0,660.0,0.0,0.0,4500.0,18900.0,75600.0
h3,650.0,0.0,450.0,200.0,650.0,0.0,0.0,4500.0,18000.0,98100.0
h4,640.0,0.0,450.0,190.0,640.0,0.0,0.0,4500.0,17100.0,119700.0
h5,650.0,0.0,450.0,200.0,650.0,0.0,0.0,4500.0,18000.0,142200.0
h6,680.0,20.0,450.0,210.0,680.0,0.0,100.0,4500.0,18900.0,165700.0
h7,720.0,60.0,450.0,210.0,720.0,0.0,300.0,4500.0,18900.0,189400.0
h8,780.0,140.0,450.0,190.0,780.0,0.0,700.0,4500.0,17100.0,211700.0
h9,820.0,220.0,450.0,150.0,820.0,0.0,1100.0,4500.0,13500.0,230800.0
h10,840.0,270.0,450.0,120.0,840.0,0.0,1350.0,4500.0,10800.0,247450.0
h11,850.0,290.0,450.0,110.0,850.0,0.0,1450.0,4500.0,9900.0,263300.0
h12,830.0,300.0,450.0,80.0,830.0,0.0,1500.0,4500.0,7200.0,276500.0
h13,820.0,290.0,450.0,80.0,820.0,0.0,1450.0,4500.0,7200.0,289650.0
h14,810.0,260.0,450.0,100.0,810.0,0.0,1300.0,4500.0,9000.0,304450.0
h15,820.0,210.0,450.0,160.0,820.0,0.0,1050.0,4500.0,14400.0,324400.0
h16,860.0,150.0,450.0,260.0,860.0,0.0,750.0,4500.0,23400.0,353050.0
h17,900.0,80.0,450.0,370.0,900.0,0.0,400.0,4500.0,33300.0,391250.0
h18,940.0,20.0,450.0,470.0,940.0,0.0,100.0,4500.0,42300.0,438150.0
h19,960.0,0.0,450.0,510.0,960.0,0.0,0.0,4500.0,45900.0,488550.0
h20,930.0,0.0,450.0,480.0,930.0,0.0,0.0,4500.0,43200.0,536250.0
h21,880.0,0.0,450.0,430.0,880.0,0.0,0.0,4500.0,38700.0,579450.0
h22,820.0,0.0,450.0,370.0,820.0,0.0,0.0,4500.0,33300.0,617250.0
h23,760.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,617250.0
