hora,milp_gen_total,pddl_gen_total,demanda,diff_gen_total
0,770.0,750,770.0,-20.0
1,748.0,700,748.0,-48.0
2,726.0,700,726.0,-26.0
3,715.0,700,715.0,-15.0
4,704.0,700,704.0,-4.0
5,715.0,700,715.0,-15.0
6,748.0,700,748.0,-48.0
7,792.0,750,792.0,-42.0
8,858.0,850,858.0,-8.0
9,902.0,900,902.0,-2.0
10,924.0,900,924.0,-24.0
11,935.0,900,935.0,-35.0
12,913.0,900,913.0,-13.0
13,902.0,900,902.0,-2.0
14,891.0,850,891.0,-41.0
15,902.0,900,902.0,-2.0
16,946.0,900,946.0,-46.0
17,990.0,950,990.0,-40.0
18,1128.0,1100,1128.0,-28.0
19,1152.0,1150,1152.0,-2.0
20,1116.0,800,1116.0,-316.0
21,1056.0,800,1056.0,-256.0
22,984.0,800,984.0,-184.0
23,836.0,800,836.0,-36.0
